row_type,site_id,latitude,longitude,snapped_link_id,snap_distance_m,snapped_road_classification,used_by_timezone_profile,used_by_temporal_raw_profiles,stage2_seed42_test_link,webtris_hgv_records,webtris_n_months,webtris_road_type,webtris_hgv_pct,aadf_hgv_proportion,road_classification,collision_count,aadf_hgv_pct,hgv_pct_abs_diff,hgv_pct_signed_diff,n_sites_in_snap_map,n_sites_with_webtris_hgv,n_sites_with_aadf_hgv,n_sites_compared,pearson_r,pearson_p,spearman_r,spearman_p,median_abs_diff_pct_points,mean_signed_diff_pct_points,risk_scores_aadf_hgv_missing_share_all_links
summary,,,,,,,,,,,,,,,,,,,,6003.0,6003.0,2725.0,2725.0,0.32534081516112573,3.297260670969912e-68,0.2934190684153702,3.034998735255073e-55,6.763077097501192,-7.941750126744743,0.9033040422927747
site,14606,52.2303164001007,-2.14044677390487,3241DC60-90AD-4AED-BEB1-A4C997AF1822,83.15936300029298,Unclassified,1.0,1.0,0.0,12.0,12.0,Motorway,18.083333333333332,0.15005659950192438,Unclassified,1.0,15.005659950192438,3.077673383140894,-3.077673383140894,,,,,,,,,,,
site,14607,53.5743343611692,-2.21103426547757,63560C03-A740-4C3B-A8E3-0059F22DA254,47.821294484800205,Motorway,1.0,1.0,1.0,5.0,5.0,Motorway,19.94,0.11521140855641732,Motorway,1.0,11.521140855641733,8.418859144358269,-8.418859144358269,,,,,,,,,,,
site,14608,52.3538600078696,-2.07107081482246,A441D11F-41E3-455E-AF40-9651E372987E,34.72726170882919,Motorway,1.0,1.0,0.0,26.0,12.0,Motorway,13.384615384615385,0.13991807148187066,Motorway,3.0,13.991807148187066,0.6071917635716808,0.6071917635716808,,,,,,,,,,,
site,14609,52.3464939603031,-2.07650463737425,74F349C7-0543-41E3-8240-CA73CA555433,193.91482606063272,Unclassified,1.0,1.0,0.0,35.0,12.0,Motorway,16.97142857142857,,Unclassified,0.0,,,,,,,,,,,,,,
site,14610,52.2523421165059,-2.13380641558888,B66B9E55-1847-4D22-AF48-8ED26DE84263,79.66137360905171,Unknown,1.0,1.0,0.0,28.0,12.0,Motorway,16.52142857142857,,Unknown,0.0,,,,,,,,,,,,,,
site,14611,54.3838190353306,-1.65369058976394,6F9CECF9-3CE9-4CAF-A958-4E0261DC8C4D,22.984222837493164,Motorway,1.0,1.0,0.0,11.0,8.0,A-road,16.472727272727273,,Motorway,0.0,,,,,,,,,,,,,,
site,14612,52.3528725756137,-2.06854383021799,1F491851-A88B-4B6D-AED2-FAE8EB3FE244,89.4700973928594,Motorway,1.0,1.0,0.0,36.0,12.0,Motorway,18.144444444444442,0.149011214793254,Motorway,2.0,14.901121479325399,3.2433229651190434,-3.2433229651190434,,,,,,,,,,,
site,14613,52.2763684357277,-2.12153866801108,04DC4266-F5DD-4900-8A37-BFEFAED6EC37,529.975284675787,Unknown,1.0,1.0,0.0,28.0,12.0,Motorway,16.22142857142857,,Unknown,0.0,,,,,,,,,,,,,,
site,14614,52.2182350646407,-2.15302714580851,A9A61A8B-ACCD-45A3-9042-F7A93294900E,93.53128863655864,Motorway,1.0,1.0,0.0,8.0,8.0,Motorway,17.2125,,Motorway,0.0,,,,,,,,,,,,,,
site,14615,54.3380818092533,-1.59523090084055,F749AD03-5506-4158-A65D-9A7B7A1624DE,52.3375967145431,A Road,1.0,1.0,1.0,12.0,12.0,A-road,18.341666666666665,0.16250362731310966,A Road,2.0,16.250362731310965,2.0913039353557004,-2.0913039353557004,,,,,,,,,,,
site,14616,52.2930106751221,-2.12058718742251,571A96C0-293F-43FD-BDDF-F546BE8663DF,144.42228582599472,Unknown,1.0,1.0,0.0,34.0,12.0,Motorway,16.058823529411764,,Unknown,0.0,,,,,,,,,,,,,,
site,14617,54.4683678589443,-1.66598582580777,CBA2DD18-323B-4A09-8D7C-2F3023680064,17.570816405182427,A Road,1.0,1.0,0.0,29.0,12.0,A-road,17.341379310344827,,A Road,0.0,,,,,,,,,,,,,,
site,14618,52.3337132091473,-2.08434779986921,3E26142A-D691-4DC5-8761-4801D002F773,99.97567110498636,Unclassified,1.0,1.0,0.0,15.0,10.0,Motorway,18.240000000000002,,Unclassified,0.0,,,,,,,,,,,,,,
site,14619,53.5857140324546,-2.16509456126636,CF5DEB3C-C31B-44CD-BC05-9CC73C15373D,46.275077461784505,Motorway,1.0,1.0,0.0,27.0,12.0,Motorway,7.366666666666667,0.14317435550106739,Motorway,2.0,14.317435550106739,6.950768883440071,6.950768883440071,,,,,,,,,,,
site,14620,52.2432708506631,-2.13376441671311,729B9A74-A07E-411B-A9B9-CEF024D61329,114.27386194650364,Classified Unnumbered,1.0,1.0,0.0,24.0,12.0,Motorway,17.099999999999998,,Classified Unnumbered,1.0,,,,,,,,,,,,,,
site,14621,52.2729235139296,-2.12312659023024,393E2F5A-6AD9-45CE-8CBF-CF469AE617E3,457.1847590812628,Unknown,1.0,1.0,0.0,28.0,12.0,Motorway,16.885714285714286,,Unknown,0.0,,,,,,,,,,,,,,
